"","X","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","Region"
"541",541,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus canicula ","Lesser spotted dogfish","N-O","D","BP","3.8","LC","Y","G","2",5,"0",0,"MED"
"542",542,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus canicula ","Lesser spotted dogfish","N-O","D","BP","3.8","LC","Y","G","1",9981,"7",0.07,"ATL N"
"543",543,"Carcharhiniformes","Sphyrnidae","Sphyrna lewini","Scalloped hammerhead","O","P","PP","4.1","EN","Y","G","1",1916,"2",0.1,"IND"
"544",544,"Carcharhiniformes","Sphyrnidae","Sphyrna mokarran","Great hammerhead","O","P","PP","4.3","EN","Y","G","1",177,"0",0,"IND"
"545",545,"Carcharhiniformes","Sphyrnidae","Sphyrna tiburo","Bonnethead","N","D","BP","3.9","LC","Y","GI","2",2,"2",100,"ATL N"
"546",546,"Carcharhiniformes","Sphyrnidae","Sphyrna zygaena","Smooth hammerhead","O","P","PP","4.9","VU","Y","G","1",1154,"2",0.17,"IND"
"547",547,"Lamniformes","Lamnidae","Carcharodon carcharias","Great White shark","O","P","PP","4.5","VU","Y","G","1",524,"2",0.38,"IND"
"548",548,"Lamniformes","Lamnidae","Isurus oxyrinchus","Shortfin mako shark","O","P","PP","4.5","VU","Y","G","1",231,"2",0.87,"IND"
"549",549,"Lamniformes","Odantaspididae","Carcharias taurus","Sand tiger shark","N","BP","PP","4.5","VU","Y","G","1",2268,"1",0.04,"IND"
"550",550,"Myliobatiformes","Dasyatidae","Hypanus americanus","Southern stingray","N","B","BP","3.5","DD","Y","G ","2",3,"0",0,"ATL S"
"551",551,"Myliobatiformes","Dasyatidae","Pteroplatytrygon violacea  ","Pelagic stingray","O","P","PP","4.4","LC","BC","GI","2",2,"1",50,"MED"
"552",552,"Myliobatiformes","Myliobatidae","Rhinoptera bonasus","Cownose ray","N-O","B","BP","3.2","NT","Y","GI","2",1,"0",0,"ATL N"
"553",553,"Rajiformes","Rajidae","Dipturus oxyrinchus","Longnosed skate","N-O","B","BP","3.5","NT","Y","GI ","2",10,"0",0,"MED"
"554",554,"Rajiformes","Rajidae","Leucoraja circularis","Sandy ray","N-O","B","BP","3.5","EN","Y","G","1",34,"0",0,"ATL N"
"555",555,"Rajiformes","Rajidae","Leucoraja naevus","Cuckoo ray","N-O","B","BP","4.2","LC","Y","G","1",381,"1",0.26,"ATL N"
"556",556,"Rajiformes","Rajidae","Raja asterias","Mediterranean starry ray","N","D","BP","3.5","LC","Y","G","2",7,"3",42.86,"ATL N"
"557",557,"Rajiformes","Rajidae","Raja clavata","Thornback ray","N","B","BP","3.8","NT","Y","GI","2",2,"0",0,"MED"
"558",558,"Rajiformes","Rajidae","Raja clavata","Thornback ray","N","B","BP","3.8","NT","Y","G","1",2705,"0",0,"ATL N"
"559",559,"Rajiformes","Rajidae","Raja montagui","Spotted ray","N","B","BP","3.9","LC","Y","G","1",1421,"0",0,"ATL N"
"560",560,"Squaliformes","Centrophoridae","Centrophorus granulosus","gulper shark","O","D","PP","4.1","VU","Y","GI ","2",5,"0",0,"MED"
"561",561,"Squaliformes","Centrophoridae","Deania calcea","Birdbeak dogfish","O","BP","PP","4.3","LC","Y","G","1",130,"0",0,"ATL N"
"562",562,"Squaliformes","Etmopteridae","Etmopterus spinax  ","Velvet-belly lanternshark","O","D","PP","4.1","LC","Y","GI","2",16,"1",6.25,"MED"
"563",563,"Squaliformes","Etmopteridae","Etmopterus spinax  ","Velvet-belly lanternshark","O","D","PP","4.1","LC","Y","G, GI, I","1",13,"1",7.69,"MED"
"564",564,"Squaliformes","Etmopteridae","Etmopterus spinax  ","Velvet-belly lanternshark","O","D","PP","4.1","LC","Y","G","2",8,"4",50,"MED"
"565",565,"Squaliformes","Etmopteridae","Etmopterus spinax  ","Velvet-belly lanternshark","O","D","PP","4.1","LC","Y","G","1",756,"0",0,"ATL N"
"566",566,"Squaliformes","Somniosidae","Centroscymnus coelolepis","Portuguese dogfish","O","D","PP","4.5","NT","Y","G, GI, I","1",54,"1",1.85,"MED"
"567",567,"Squaliformes","Somniosidae","Scymnodon ringens","Knifetooth dogfish","O","BP","PP","3.9","DD","Y","G","1",49,"0",0,"ATL N"
"568",568,"Squaliformes","Squalidae","Squalus acanthias","Picked dogfish","N-O","BP","PP","4.4","VU","Y","GI","3",9,"4",44.44,"MED"
"569",569,"Squaliformes","Squalidae","Squalus acanthias","Picked dogfish","N-O","BP","PP","4.4","VU","Y","GI ","2",10,"0",0,"MED"
"570",570,"Squaliformes","Squalidae","Squalus blainville","Longnose spurdog","N-O","D","PP","4","DD","Y","GI","2",75,"1",1.33,"MED"
"571",571,"Torpediniformes","Narcinidae","Narcine brasiliensis","Brazilian electric ray","N","B","BP","3.2","DD","Y","GI","2",6,"1",16.67,"ATL N"
"572",572,"Torpediniformes","Torpedinidae","Torpedo torpedo","Common torpedo","N","D","BP","4.5","DD","N","G","2",1,"0",0,"ATL N"
"573",573,"Chimaeriformes","Chimaeridae","Chimera monstrosa","Ratfish","N","D","BP","3.5","NT","BC","G","2",2,"0",0,"MED"
