"","X","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","Region"
"141",141,"Myctophiformes","Myctophidae","Mychtophum lychnobium","n/a","O","P","P","3.2","LC","N","n/a","1",17,"7",41.18,"PAC N"
"142",142,"Myctophiformes","Myctophidae","Myctophum nitidulum","Pearly lanternfish","O","P","P","3.4","NE","Y","G","2",25,"4",16,"PAC N"
"143",143,"Myctophiformes","Myctophidae","Myctophum punctatum","Spotted lanternfish","O","P","P","3.4","NE","N","G","?",71,"3",4.23,"MED"
"144",144,"Myctophiformes","Myctophidae","Myctophum punctatum","Spotted lanternfish","O","P","P","3.4","NE","N","G ","3",86,"64",74.42,"ATL N"
"145",145,"Myctophiformes","Myctophidae","Myctophum punctatum","Spotted lanternfish","O","P","P","3.4","NE","N","GI","3",3,"0",0,"ATL N"
"146",146,"Myctophiformes","Myctophidae","Nannobrachium fernae","n/a","O","P","P","3.1","NE","N","G","2",1,"0",0,"PAC N"
"147",147,"Myctophiformes","Myctophidae","Nannobrachium hawaiiensis","n/a","O","P","P","3.1","NE","N","G","2",17,"0",0,"PAC N"
"148",148,"Myctophiformes","Myctophidae","Nannobrachium regale","Pinpoint lampfish","O","P","P","3.2","NE","N","G","2",1,"0",0,"PAC N"
"149",149,"Myctophiformes","Myctophidae","Notolychnus valdiviae","Topside lampfish","O","P","P","3.1","NE","Y","G","2",3,"0",0,"PAC N"
"150",150,"Myctophiformes","Myctophidae","Notoscopelus kroyeri","Lancet fish","O","P","P","3.2","NE","N","GI","3",417,"60",14.39,"ATL N"
"151",151,"Myctophiformes","Myctophidae","Notoscopelus resplendens","Patchwork lampfish","O","P","P","3","NE","Y","G","2",3,"0",0,"PAC N"
"152",152,"Myctophiformes","Myctophidae","Symbolophorus evermanni","Evermann's lanternfish","O","P","P","3.4","NE","N","n/a","1",14,"1",7.14,"PAC N"
"153",153,"Myctophiformes","Myctophidae","Taaningichthys bathyphilus","Deepwater lanternfish","O","P","P","3.1","NE","Y","G","2",3,"0",0,"PAC N"
"154",154,"Ophidiiformes","Bythidiae","Cataetyx laticeps","n/a","O","D","BP","3.8","NE","N","G, GI, I","1",10,"1",10,"MED"
"155",155,"Osmeriformes","Alepocephalidae","Alepocephalus rostratus","Risso's smooth-head","O","D","BP","3.7","NE","N","G, GI, I","1",158,"0",0,"MED"
"156",156,"Osmeriformes","Alepocephalidae","Xenodermichthys copei","Bluntsnout smooth-head","O","P","P","3.2","NE","N","GI","3",5,"3",60,"ATL N"
"157",157,"Osmeriformes","Argentinidae","Argentina silus","Greater argentine","O","P","P","3.3","NE","Y","GI","2",15,"1",6.67,"ATL N"
