"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"111","Perciformes","Acanthuridae","Acanthurus lineatus","Lined surgeonfish","N","B","G",2,"LC","Y","GI","3","24","4",16.67,1
"112","Perciformes","Acanthuridae","Acanthurus sohal","Sohal surgeonfish","N","B","G",2,"LC","Y","GI","3","3","0",0,0
"113","Perciformes","Acanthuridae","Ctenochaetus striatus","Striated surgeonfish","N","B","G",2,"LC","Y","GI","3","27","7",25.93,1
"114","Perciformes","Acanthuridae","Naso brachycentron","Humpback unicornfish","N","B","G",2.7,"LC","Y","GI","1","1","0",0,0
"115","Perciformes","Acanthuridae","Naso lituratus","Orangespine unicornfish","N","B","G",2.3,"LC","Y","GI","3","28","4",14.29,1
"116","Perciformes","Acanthuridae","Naso unicornis","Bluespine unicornfish","N","B","G",2.2,"LC","Y","GI","3","30","6",20,1
"117","Perciformes","Ammodytidae","Ammodytes personatus","Pacific sandlance","N","B","P",3.1,"NE","Y","GI","2","734","11",1.5,1
"118","Perciformes","Blennidae","Scartichthys viridis","n/a","N","B","G",2.2,"LC","N","GI","3","19","19",100,1
"119","Perciformes","Bramidae","Brama brama","Atlantic pomfret","O","P","PP",4.1,"NE","Y","G","2","3","1",33.33,1
"120","Perciformes","Callionymidae","Callionymus lyra","Dragonet","N",NA,"BP",3.3,"NE","Y","GI","2","50","19",38,1
"121","Perciformes","Callionymidae","Callionymus planus","Japanese darter dragonet","N","B","BP",3.3,"NE","N","GI","3","18","18",100,1
"122","Perciformes","Carangidae","Caranx crysos","Blue runner","N","P","PP",4.1,"LC","Y","GI","3","1","1",100,1
"123","Perciformes","Carangidae","Caranx hippos","Crevalle jack","N-O","BP","BP",3.6,"LC","Y","GI","2","3","3",100,1
"124","Perciformes","Carangidae","Caranx melampygus","Bluefin trevally","N-O","BP","PP",4.5,"LC","Y","GI","1","1","0",0,0
"125","Perciformes","Carangidae","Caranx papuensis","Brassy trevally","N","P","PP",4,"NE","Y","GI","3","32","14",43.75,1
"126","Perciformes","Carangidae","Caranx sexfasciatus","Bigeye trevally","N-O","BP","PP",4.5,"LC","Y","GI","1","3","0",0,0
"127","Perciformes","Carangidae","Decapterus macrosoma","Shortfin scad","N","P","P",3.4,"NE","Y","GI","3","17","5",29.41,1
"128","Perciformes","Carangidae","Decapterus muroadsi","Amberstripe scad","N-O","P","P",3.4,"LC","Y","GI","3","25","16",64,1
"129","Perciformes","Carangidae","Selar boops","Oxeye scad","N","BP","P",3.5,"NE","Y","GI","3","7","0",0,0
"130","Perciformes","Carangidae","Selene setapinnis","Atlantic moofish","N","BP","PP",3.7,"LC","Y","GI","2","1","0",0,0
"131","Perciformes","Carangidae","Selene vomer","Lookdown","N",NA,"BP",4.3,"LC","Y","GI","2","2","1",50,1
"132","Perciformes","Carangidae","Seriola lalandi ","Yellowtail kingfish","N-O","BP","PP",4.2,"NE","Y","GI","2","19","2",10.53,1
"133","Perciformes","Carangidae","Trachinotus ovatus","Pompano","N","P","BP",3.7,"LC","Y","G","2","115","28",24.35,1
"134","Perciformes","Carangidae","Trachurus declivis","Greenback horse mackerel","N-O","BP","P",3.9,"NE","Y","G, GI","2","23","0",0,0
"135","Perciformes","Carangidae","Trachurus mediterraneus","Med Horse mackerel","O","P","PP",3.8,"LC","Y","GI","3","98","67",68.37,1
"136","Perciformes","Carangidae","Trachurus novaezelandiae","Yellowtail horse mackerel","O","P","P",3.2,"NE","Y","GI","3","31","1",3.23,1
