order,family,species,common_name,habitat,feeding_strategy,trophic_level,IUCN,fisheries_interest,G/GI,method,N,n_fish_ingested,FO
Perciformes,Callionymidae,,,,,,,,GI ,2,n/a,,yes
Perciformes,Callionymidae,,,,,,,,G,1,2116,0,0.00
Perciformes,Callionymidae,Callionymus planus,Japanese darter dragonet,"N, B",BP,3.3,NE,N,GI,3,18,18,100.00
Perciformes,Carangidae,Caranx crysos,Blue runner,"N, P",PP,4.1,LC,Y,GI,3,1,1,100.00
Perciformes,Carangidae,,,,,,,,G ,2,3,0,0.00
Perciformes,Carangidae,,,,,,,,GI,2,3,0,0.00
Perciformes,Carangidae,Caranx hippos,Crevalle jack,"N-O, BP",BP,3.6,LC,Y,GI,2,3,3,100.00
Perciformes,Carangidae,Caranx latus,Horse-eye jack,"N-O, P",BP,4.2,LC,Y,GI,2,57,,no
Perciformes,Carangidae,Caranx melampygus,Bluefin trevally,"N-O, BP",PP,4.5,LC,Y,GI,1,1,0,0.00
Perciformes,Carangidae,Caranx papuensis,Brassy trevally,"N, P",PP,4,NE,Y,GI,3,32,14,43.75
Perciformes,Carangidae,Caranx sexfasciatus,Bigeye trevally,"N-O, BP",PP,4.5,LC,Y,GI,1,3,0,0.00
Perciformes,Carangidae,Decapterus macrosoma,Shortfin scad,"N, P",P,3.4,NE,Y,GI,3,17,5,29.41
Perciformes,Carangidae,,,,,,,,GI,3,25,7,28.00
Perciformes,Carangidae,Decapterus muroadsi,Amberstripe scad,"N-O, P",P,3.4,LC,Y,GI,3,25,16,64.00
Perciformes,Carangidae,,,,,,,,GI,2,20,16,80.00
Perciformes,Carangidae,Oligoplites palometa,Maracaibo leatherjacket,"N, BP",BP,4.3,LC,Y,GI,2,8,,no
Perciformes,Carangidae,Oligoplites saliens,Castin leatherjacket,"N, BP",P,3.8,LC,Y,GI,2,2,,no
Perciformes,Carangidae,Oligoplites saurus,Leatherjacket,"N, P",PP,4.3,NE,Y,GI,2,22,,yes
Perciformes,Carangidae,Selar boops,Oxeye scad,"N, BP",P,3.5,NE,Y,GI,3,7,0,0.00
Perciformes,Carangidae,Selene setapinnis,Atlantic moofish,"N, BP",PP,3.7,LC,Y,GI,2,1,0,0.00
Perciformes,Carangidae,Selene vomer,Lookdown,"N, D",BP,4.3,LC,Y,GI,2,2,1,50.00
Perciformes,Carangidae,,,,,,,,GI,2,2,,no
